tipo_transaccion,nombre_comercio,giro_nombre,mcc_nombre,fecha_transaccion,ope_pais,entry_mode,sexo_cliente,estado_cliente,edad_cliente,monto_transaccion,id_cliente,periodo,mañana,tarde,noche,madrugada,presencial,nacional,internacional,anomalia_geografica,anomalia_temporal,anomalia_monto,anomalia_giro_monto,suma_ponderada,Fraude,sexo,fechas_decembrinas,categoria_peligrosa
TDC,CERVECERIA CHAPULTEPECSANPEDRO TLAJA,RESTAURANTE,"BARES,BEBIDAS ALCOHOLICAS,TABERNAS,DISCOTECAS",11/13/2022 0:04,MX,CARD PRESENT,M,JALISCO,23,390.89,6583,madrugada,0,0,0,1,1,0,0,0,1,1,0,0.55,1,0,0,0
TDD,EXTRA K EL DORADO     TLALNEPANTLA EM,RETAIL,"TIENDAS DE CONVENIENCIA, MINISUPER",11/26/2022 16:14,MX,CARD PRESENT,M,MEXICO,28,391.17,2991,tarde,0,1,0,0,1,0,0,0,0,1,1,0.55,1,0,0,0
TDC,AME*DIDI FOOD R       CIUDAD DE MEX001,COMIDA RAPIDA,COMIDA RAPIDA,2/12/2023 10:19,MX,CARD NOT PRESENT,M,GUANAJUATO,25,391.19,9897,mañana,1,0,0,0,0,1,0,0,0,1,1,0.55,1,0,0,0
TDD,H&M MX0031 MANACAR    CIUDAD DE MEX00,RETAIL,BOUTIQUES ROPA - PARA TODA LA FAMILIA,11/30/2022 11:47,MX,CARD PRESENT,M,CIUDAD DE MEXICO,25,391.24,6926,mañana,1,0,0,0,1,0,0,0,0,1,1,0.55,1,0,0,0
TDD,OXXOVALLE DEL SOL QRF QUERETARO QROQU,RETAIL,"TIENDAS DE CONVENIENCIA, MINISUPER",12/9/2022 23:01,MX,CARD PRESENT,M,QUERETARO,25,391.69,9090,noche,0,0,1,0,1,0,0,0,0,1,1,0.55,1,0,0,0
TDC,DLOCAL*DIDI FOOD      CIUDAD DE MEX001,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",1/25/2023 19:33,MX,CARD NOT PRESENT,M,CIUDAD DE MEXICO,28,391.69,6755,noche,0,0,1,0,0,1,0,0,0,1,1,0.55,1,0,0,0
TDC,ALM GARCIA            CULIACAN SIN SI,RETAIL,"TELAS Y CASIMIRES,MERCERIAS, BONETERIAS,CORCETERIA",12/17/2022 13:23,MX,CARD PRESENT,M,SINALOA,23,391.69,9033,tarde,0,1,0,0,1,0,0,0,0,1,1,0.55,1,0,1,0
TDC,SNP*MERCADOPAGO       CIUDAD DE MEX001,AGREGADOR,AGREGADOR,11/20/2022 18:51,MX,CARD NOT PRESENT,M,MICHOACAN DE OCAMPO,23,391.69,9203,noche,0,0,1,0,0,1,0,0,0,1,1,0.55,1,0,0,0
TDD,LLYASA OCAMPO         CHIHUAHUA CHI009,RETAIL,"LLANTAS, AUTOMOTORES DISTRIB DE LLANTAS",1/23/2023 15:58,MX,CARD PRESENT,M,CHIHUAHUA,27,391.69,263,tarde,0,1,0,0,1,0,0,0,0,1,1,0.55,1,0,0,0
TDD,AUTOSERVICIO QUERETANOQUERETARO QROQU,GASOLINERAS,"ESTACIONES DE SERVICIO, GASOLINERIAS TODO TRANSPOR",11/15/2022 3:29,MX,CARD PRESENT,M,QUERETARO,28,391.69,8034,madrugada,0,0,0,1,1,0,0,0,1,1,0,0.55,1,0,0,0
TDC,STP*UBER TRIP         CIUDAD DE MEX001,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",11/29/2022 15:21,MX,CARD NOT PRESENT,M,MEXICO,25,392.08,6287,tarde,0,1,0,0,0,1,0,0,0,1,1,0.55,1,0,0,0
TDC,SNP*MERCADOPAGO       CIUDAD DE MEX001,AGREGADOR,AGREGADOR,12/2/2022 23:10,MX,CARD NOT PRESENT,M,MEXICO,24,392.16,5456,noche,0,0,1,0,0,1,0,0,0,1,1,0.55,1,0,0,0
TDC,ADO MOVIL ACCERTIFY 2 MEXICO DF    001,TRANSPORTE TERRESTRE DE PASAJEROS,AUTOBUSES FORANEOS,1/15/2023 7:49,MX,CARD NOT PRESENT,M,QUERETARO,28,392.19,6283,mañana,1,0,0,0,0,1,0,0,0,1,1,0.55,1,0,1,0
TDC,GOLF EXPRESS QUERE    QUERETARO QRO00,RETAIL,DEPORTES Y ACCESORIOS,2/3/2023 17:27,MX,CARD PRESENT,M,QUERETARO,27,392.34,4542,tarde,0,1,0,0,1,0,0,0,0,1,1,0.55,1,0,0,0
TDC,IKANO RETAIL MEXICO   CIUDAD DE MEX09,RETAIL,MOBILIARIO ESPECIAL PARA EL HOGAR,1/22/2023 16:20,MX,CARD PRESENT,M,CIUDAD DE MEXICO,28,392.69,8158,tarde,0,1,0,0,1,0,0,0,0,1,1,0.55,1,0,0,0
TDD,DISTRIBUIDORA NAIR    GUADALUPE NL 019,MISCELANEAS,"ABARROTES, CARNICERIAS, PESCADERIAS, MISCELANEAS,",2/13/2023 16:11,MX,CARD PRESENT,M,NUEVO LEON,26,393.19,9134,tarde,0,1,0,0,1,0,0,0,0,1,1,0.55,1,0,0,0
TDD,www aliexpress com       LONDON,OTROS,MERCADO DIRECTO - VENTAS POR CATALOGO,1/15/2023 0:29,GB,CARD NOT PRESENT,M,GUERRERO,22,393.58,1023,madrugada,0,0,0,1,0,0,1,0,1,1,0,0.55,1,0,1,0
TDD,SERVIPREST ENCINOS    JUAREZ NL    019,RETAIL,CASAS DE EMPENO,12/16/2022 14:51,MX,CARD PRESENT,M,NUEVO LEON,25,393.68,5407,tarde,0,1,0,0,1,0,0,0,0,1,1,0.55,1,0,1,0
TDC,CAZADOS ZIMA          TECAMAC EM   EM,RETAIL,ZAPATERIAS,2/17/2023 18:23,MX,CARD PRESENT,M,MEXICO,24,393.68,7708,noche,0,0,1,0,1,0,0,0,0,1,1,0.55,1,0,0,0
TDD,DLOCAL*SHEIN          CIUDAD DE MEX09,AGREGADOR,AGREGADOR,12/23/2022 15:08,MX,CARD NOT PRESENT,M,NUEVO LEON,26,393.68,6978,tarde,0,1,0,0,0,1,0,0,0,1,1,0.55,1,0,1,0
TDC,OXXO ROMA MTT         COSOLEACAQUE VE,RETAIL,"TIENDAS DE CONVENIENCIA, MINISUPER",1/1/2023 4:51,MX,CARD PRESENT,M,QUERETARO,28,393.68,6283,madrugada,0,0,0,1,1,0,0,0,1,1,1,0.75,1,0,1,0
TDC,SNP*MERCADOPAGO       CIUDAD DE MEX001,AGREGADOR,AGREGADOR,3/2/2023 13:21,MX,CARD NOT PRESENT,M,MEXICO,28,393.9,4605,tarde,0,1,0,0,0,1,0,0,0,1,1,0.55,1,0,0,0
TDC,SNP*MERCADOPAGO       CIUDAD DE MEX001,AGREGADOR,AGREGADOR,2/1/2023 20:59,MX,CARD NOT PRESENT,M,MEXICO,25,393.9,3918,noche,0,0,1,0,0,1,0,0,0,1,1,0.55,1,0,0,0
TDC,VODAFONE QATAR PQSC   DOH,TELECOMUNICACIONES,"SERVICIOS DE TELECOMUNICACION, LLAMADAS LOC Y LARG",11/29/2022 10:08,QA,CARD PRESENT,M,MEXICO,27,394.09,3406,mañana,1,0,0,0,1,0,0,1,0,1,0,0.6,1,0,0,0
TDD,REST NIKKORI          MONTERREY NL 019,COMIDA RAPIDA,COMIDA RAPIDA,11/26/2022 22:14,MX,CARD PRESENT,M,NUEVO LEON,22,394.18,6309,noche,0,0,1,0,1,0,0,0,0,1,1,0.55,1,0,0,0
TDC,DECATHLON MONTERREY   SN PEDRO GARZNL,RETAIL,DEPORTES Y ACCESORIOS,1/14/2023 18:32,MX,CARD PRESENT,M,NUEVO LEON,25,394.18,668,noche,0,0,1,0,1,0,0,0,0,1,1,0.55,1,0,1,0
TDD,BAR HYPE CLUB GUANAJUALEON DE LOS A011,RESTAURANTE,"BARES,BEBIDAS ALCOHOLICAS,TABERNAS,DISCOTECAS",11/13/2022 2:52,MX,CARD PRESENT,M,GUANAJUATO,20,394.18,7216,madrugada,0,0,0,1,1,0,0,0,1,1,0,0.55,1,0,0,0
TDD,MERCADO PAGO 3        CIUDAD DE MEX001,OTROS,MERCADO DIRECTO - VENTAS POR CATALOGO,12/1/2022 4:57,MX,CARD NOT PRESENT,M,COAHUILA DE ZARAGOZA,22,394.18,4877,madrugada,0,0,0,1,0,1,0,0,1,1,0,0.55,1,0,0,0
TDD,LA OSTIONERIA         COMALCALCO TATA,RESTAURANTE,RESTAURANTES,12/18/2022 1:48,MX,CARD PRESENT,M,TABASCO,25,394.18,8508,madrugada,0,0,0,1,1,0,0,0,1,1,0,0.55,1,0,1,0
TDC,REST COTORRITOS MERIDAMERIDA YUC   YUC,RESTAURANTE,RESTAURANTES,1/8/2023 1:45,MX,CARD PRESENT,M,YUCATAN,27,394.18,2009,madrugada,0,0,0,1,1,0,0,0,1,1,0,0.55,1,0,1,0
TDC,DLOCAL*DIDI FOOD CA   CIUDAD DE MEX09,AGREGADOR,AGREGADOR,1/16/2023 19:09,MX,CARD NOT PRESENT,M,CIUDAD DE MEXICO,28,394.18,6755,noche,0,0,1,0,0,1,0,0,0,1,1,0.55,1,0,0,0
TDC,SNP*MERCADOPAGO       CIUDAD DE MEX001,AGREGADOR,AGREGADOR,2/15/2023 18:39,MX,CARD NOT PRESENT,M,JALISCO,22,394.18,2037,noche,0,0,1,0,0,1,0,0,0,1,1,0.55,1,0,0,0
TDC,UBR* PENDING.UBER.COM    SAN FRANCISCO,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",1/28/2023 4:46,US,CARD NOT PRESENT,M,CIUDAD DE MEXICO,28,394.23,8585,madrugada,0,0,0,1,0,0,1,0,1,1,1,0.75,1,0,0,0
TDC,NETPAY*SSAM           GUADALAJARA J014,COMIDA RAPIDA,COMIDA RAPIDA,2/6/2023 22:33,MX,CARD PRESENT,M,JALISCO,24,394.43,9425,noche,0,0,1,0,1,0,0,0,0,1,1,0.55,1,0,0,0
TDC,Uniqlo Europe Ltd Dutch BAmsterdam,RETAIL,BOUTIQUES ROPA - PARA TODA LA FAMILIA,2/9/2023 7:47,NL,CARD PRESENT,M,CIUDAD DE MEXICO,26,394.53,6032,mañana,1,0,0,0,1,0,0,1,0,1,1,0.8,1,0,0,0
TDC,POCKETS CD SATELITE   NAUCALPAN    00,RESTAURANTE,RESTAURANTES,3/4/2023 1:34,MX,CARD PRESENT,M,GUANAJUATO,26,394.68,9939,madrugada,0,0,0,1,1,0,0,0,1,1,0,0.55,1,0,0,0
TDC,LUCKY #719               HOLLISTER,SUPERMERCADOS,AUTOSERVICIOS Y SUPERMERCADOS,1/10/2023 19:05,US,CARD PRESENT,M,JALISCO,27,394.74,1407,noche,0,0,1,0,1,0,0,1,0,1,0,0.6,1,0,1,0
TDC,GASOL MINIEXPRES MN   GUADALUPE NL 019,GASOLINERAS,"ESTACIONES DE SERVICIO, GASOLINERIAS TODO TRANSPOR",11/29/2022 1:20,MX,CARD PRESENT,M,NUEVO LEON,27,394.97,8703,madrugada,0,0,0,1,1,0,0,0,1,1,0,0.55,1,0,0,0
TDD,SAVE ON FOODS #996       BURNABY,SUPERMERCADOS,AUTOSERVICIOS Y SUPERMERCADOS,2/15/2023 16:03,CA,CARD PRESENT,M,JALISCO,20,395.02,1991,tarde,0,1,0,0,1,0,0,1,0,1,0,0.6,1,0,0,0
TDD,PAYPAL *KINGUINDIGI      35529052,RETAIL,JUEGOS DE MESA Y PASATIEMPOS,2/9/2023 11:35,HK,CARD NOT PRESENT,M,MEXICO,24,395.14,15,mañana,1,0,0,0,0,0,1,0,0,1,1,0.55,1,0,0,0
TDC,AVON MX               CIUDAD DE MEXDF,RETAIL,TIENDAS - COSMETICOS  PERFUMERIA,12/19/2022 23:35,MX,CARD NOT PRESENT,M,MEXICO,27,395.18,4481,noche,0,0,1,0,0,1,0,0,0,1,1,0.55,1,0,1,0
TDD,LAS ALITAS CUAUHTEMOC MONTERREY NL 019,COMIDA RAPIDA,COMIDA RAPIDA,1/8/2023 16:29,MX,CARD PRESENT,M,NUEVO LEON,25,395.18,668,tarde,0,1,0,0,1,0,0,0,0,1,1,0.55,1,0,1,0
TDD,TELEFONICAPFACTAPPMU  MEXICO DF    DF,TELECOMUNICACIONES,"SERVICIOS DE TELECOMUNICACION, LLAMADAS LOC Y LARG",12/5/2022 1:29,MX,CARD NOT PRESENT,M,SAN LUIS POTOSI,22,395.32,841,madrugada,0,0,0,1,0,1,0,0,1,1,0,0.55,1,0,0,0
TDC,CONEKTA*AMIGOSCOOL    MONTERREY NL 019,RETAIL,SERVICIOS PUBLICITARIOS,12/15/2022 12:00,MX,CARD NOT PRESENT,M,SONORA,28,395.68,8943,tarde,0,1,0,0,0,1,0,0,0,1,1,0.55,1,0,1,0
TDC,CAFEBRERIA EL PENDULO CIUDAD DE MEX001,RETAIL,LIBRERIAS,1/5/2023 17:12,MX,CARD PRESENT,M,PUEBLA,27,395.69,9617,tarde,0,1,0,0,1,0,0,0,0,1,1,0.55,1,0,1,0
TDD,SERV BEGONIA          MEXICO DF    000,GASOLINERAS,"ESTACIONES DE SERVICIO, GASOLINERIAS TODO TRANSPOR",12/25/2022 3:24,MX,CARD PRESENT,M,CIUDAD DE MEXICO,27,395.76,1263,madrugada,0,0,0,1,1,0,0,0,1,1,0,0.55,1,0,1,0
TDD,LA CASA DE LA CARCASASCIUDAD DE MEX001,RETAIL,"EQUIPOS DE TELECOMUNICACION,VTA DE TELEFONOS",2/4/2023 16:55,MX,CARD PRESENT,M,MEXICO,23,395.78,5503,tarde,0,1,0,0,1,0,0,0,0,1,1,0.55,1,0,0,0
TDC,HAUS MARKET JARDIN    LOSREYES MICMI,RETAIL,"DEPOSITOS DE CERVEZAS, VINATERIAS, VINOS Y LICORES",1/27/2023 23:08,MX,CARD PRESENT,M,MICHOACAN DE OCAMPO,20,396.18,4228,noche,0,0,1,0,1,0,0,0,0,1,1,0.55,1,0,0,0
TDD,KFC 527 PIN CUAUTITLANCUAUTITLAN IZ015,COMIDA RAPIDA,COMIDA RAPIDA,1/20/2023 16:07,MX,CARD PRESENT,M,MEXICO,27,396.18,7665,tarde,0,1,0,0,1,0,0,0,0,1,1,0.55,1,0,0,0
TDD,CHEVRON 0209530          LAREDO,GASOLINERAS,"ESTACIONES DE SERVICIO, GASOLINERIAS TODO TRANSPOR",1/5/2023 12:52,US,CARD PRESENT,M,COAHUILA DE ZARAGOZA,23,396.31,8134,tarde,0,1,0,0,1,0,0,1,0,1,0,0.6,1,0,1,0
TDD,AZUCAR MORENA         MERIDA YUC   YU,RESTAURANTE,RESTAURANTES,2/11/2023 2:23,MX,CARD PRESENT,M,YUCATAN,28,396.38,1615,madrugada,0,0,0,1,1,0,0,0,1,1,0,0.55,1,0,0,0
TDD,BET365 MX SEC         CIUDAD DE MEXDF,RETAIL,CASINOS CASAS DE JUEGO (APUESTAS INCLUYE BILLETES),3/3/2023 1:47,MX,CARD NOT PRESENT,M,NUEVO LEON,27,396.68,8636,madrugada,0,0,0,1,0,1,0,0,1,1,1,0.75,1,0,0,0
TDD,MARIS EL GORDO SN PEDRSN PEDRO GARZ019,COMIDA RAPIDA,COMIDA RAPIDA,2/9/2023 20:37,MX,CARD PRESENT,M,NUEVO LEON,20,397.18,5527,noche,0,0,1,0,1,0,0,0,0,1,1,0.55,1,0,0,0
TDC,CONEKTA*SWAP          CIUDAD DE MEX001,AGREGADOR,AGREGADOR,2/3/2023 16:39,MX,CARD NOT PRESENT,M,CHIAPAS,24,397.23,4438,tarde,0,1,0,0,0,1,0,0,0,1,1,0.55,1,0,0,0
TDC,RMM ANTARA            CIUDAD DE MEX001,COMIDA RAPIDA,COMIDA RAPIDA,2/4/2023 18:33,MX,CARD PRESENT,M,CIUDAD DE MEXICO,28,397.48,8585,noche,0,0,1,0,1,0,0,0,0,1,1,0.55,1,0,0,0
TDD,SUPER CARNES DAVILA   SALTILLO COAH006,MISCELANEAS,"ABARROTES, CARNICERIAS, PESCADERIAS, MISCELANEAS,",12/10/2022 20:13,MX,CARD PRESENT,M,COAHUILA DE ZARAGOZA,25,397.79,9112,noche,0,0,1,0,1,0,0,0,0,1,1,0.55,1,0,0,0
TDC,OXXOCARRETERA VISTA HEYURECUARO MICMI,RETAIL,"TIENDAS DE CONVENIENCIA, MINISUPER",11/27/2022 9:21,MX,CARD PRESENT,M,MICHOACAN DE OCAMPO,28,397.93,4183,mañana,1,0,0,0,1,0,0,0,0,1,1,0.55,1,0,0,0
TDC,DIST FLORIDO REFUGIO  TIJUANA BCN  003,MISCELANEAS,"ABARROTES, CARNICERIAS, PESCADERIAS, MISCELANEAS,",11/25/2022 21:29,MX,CARD PRESENT,M,BAJA CALIFORNIA,25,397.99,1131,noche,0,0,1,0,1,0,0,0,0,1,1,0.55,1,0,0,0
TDD,JUGUETRON T202 VENTURACIUDAD DE MEX001,RETAIL,JUEGOS DE MESA Y PASATIEMPOS,12/29/2022 18:19,MX,CARD PRESENT,M,NUEVO LEON,25,398,2666,noche,0,0,1,0,1,0,0,0,0,1,1,0.55,1,0,1,0
TDD,PHILLIPS 66 - STRIPE     PORTALES,GASOLINERAS,"ESTACIONES DE SERVICIO, GASOLINERIAS TODO TRANSPOR",12/31/2022 22:57,US,CARD PRESENT,M,CHIHUAHUA,23,398.02,2931,noche,0,0,1,0,1,0,0,1,0,1,0,0.6,1,0,1,0
TDC,TELMEX CARGO RECURR 3 CIUDAD DE MEX001,TELECOMUNICACIONES,"SERVICIOS DE TELECOMUNICACION, LLAMADAS LOC Y LARG",2/22/2023 4:03,MX,CARD NOT PRESENT,M,JALISCO,27,398.17,8489,madrugada,0,0,0,1,0,1,0,0,1,1,0,0.55,1,0,0,0
TDC,PER SE Y CE PROFETA GECD OBREGON SOSON,RETAIL,PERECEDEROS - NO CLASIFICADOS,1/28/2023 12:23,MX,CARD PRESENT,M,SONORA,27,398.43,7177,tarde,0,1,0,0,1,0,0,0,0,1,1,0.55,1,0,0,0
